time,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00,,15.0,16.0,,13.0,,6.0
00:10,,13.5,14.7,,12.0,,6.0
00:20,,12.0,14.0,,8.0,,6.0
00:30,,12.5,11.8,,8.0,,5.0
00:40,6.3,9.2,10.5,9.0,8.5,5.0,4.5
00:50,6.3,8.8,8.2,7.0,6.0,5.0,4.0
01:00,,6.3,7.3,,6.0,,4.0
01:10,,6.0,6.0,,5.0,,2.0
01:20,,4.0,4.0,,4.0,,2.0
01:30,,4.0,4.0,,4.0,,2.0
01:40,3.0,3.7,2.3,,4.0,,2.0
01:50,2.2,3.4,2.0,4.0,3.8,2.0,2.0
02:00,,3.0,1.7,,2.0,2.0,2.0
02:10,,3.5,1.3,,2.0,,1.0
02:20,,2.3,1.3,,2.0,,1.0
02:30,,2.0,0.3,,2.0,,1.0
02:40,1.3,2.0,0.4,,2.0,,1.0
02:50,1.7,2.0,0.8,2.0,1.7,0.0,1.0
03:00,,2.0,0.3,,1.0,,1.0
03:10,,1.5,0.5,,1.0,,1.0
03:20,,1.5,1.0,,1.0,,1.0
03:30,,1.5,1.0,,1.0,,0.0
03:40,,1.5,0.5,,1.0,,0.0
03:50,,1.0,0.0,,1.0,,0.0
04:00,,1.0,0.0,,1.0,,0.0
04:10,,1.0,0.0,,1.0,,0.0
04:20,,1.0,0.0,,1.0,,0.0
04:30,,1.5,0.0,,1.0,,0.0
04:40,,1.3,0.0,,1.0,,0.0
04:50,,1.3,0.7,,1.0,,0.0
05:00,,2.0,0.7,,2.0,,
05:10,,2.0,1.5,,2.0,,
05:20,,3.0,2.0,,2.0,,
05:30,,3.0,2.5,,2.0,,
05:40,,4.0,3.3,,3.0,,
05:50,4.0,4.0,5.0,,4.0,,
06:00,6.0,8.0,6.5,,4.5,1.0,
06:10,6.5,7.2,7.0,8.0,5.0,1.0,0.0
06:20,8.5,,8.2,9.0,7.0,,1.0
06:30,9.8,,9.0,,8.0,,1.0
06:40,12.0,13.0,10.0,,10.0,,1.0
06:50,14.0,15.0,11.5,,12.0,,2.0
07:00,16.0,17.0,13.5,,13.0,,2.0
07:10,18.0,,15.5,,14.0,,2.0
07:20,22.0,18.0,20.8,,14.0,,3.0
07:30,24.0,19.3,25.7,,16.0,,3.0
07:40,24.0,20.5,26.0,,16.0,,4.0
07:50,26.0,23.3,27.5,,17.0,7.0,4.0
08:00,26.0,23.5,28.8,20.0,18.0,7.0,4.0
08:10,25.5,25.0,29.0,20.0,20.7,,5.0
08:20,26.2,28.5,30.5,22.0,23.0,,5.0
08:30,29.0,30.3,31.0,24.0,,,6.5
08:40,30.5,31.8,30.7,24.0,25.0,,7.0
08:50,31.6,32.0,33.0,25.0,26.0,15.0,7.0
09:00,32.5,33.0,34.7,26.0,27.0,17.0,8.0
09:10,34.0,35.5,35.0,26.0,27.5,18.0,8.0
09:20,33.5,37.7,36.0,27.0,27.0,19.0,9.0
09:30,33.0,38.5,34.0,27.0,28.0,21.0,11.0
09:40,32.5,40.7,36.0,30.0,30.0,24.0,12.0
09:50,32.5,40.0,35.0,33.0,32.5,27.0,14.0
10:00,32.5,39.3,36.0,35.0,34.0,29.0,16.0
10:10,34.0,37.3,37.0,35.0,34.5,30.0,17.0
10:20,34.0,36.8,37.0,35.5,33.5,31.0,17.0
10:30,34.5,36.0,36.0,36.0,34.0,33.0,19.0
10:40,33.0,36.7,38.0,36.0,33.5,36.5,24.0
10:50,31.0,37.3,32.0,37.0,34.5,38.0,28.0
11:00,29.8,37.8,29.5,37.0,35.5,40.0,31.0
11:10,31.0,39.0,,36.0,36.0,41.0,32.0
11:20,31.0,38.5,,36.0,36.5,43.0,34.0
11:30,32.0,38.5,,37.0,37.0,43.0,34.0
11:40,34.5,39.3,,40.0,37.0,44.0,30.5
11:50,36.5,41.3,,39.0,36.5,45.0,36.0
12:00,36.5,42.7,37.0,38.7,36.0,45.0,38.0
12:10,36.5,43.3,38.0,42.0,36.5,44.0,38.0
12:20,36.0,43.0,,40.3,37.7,43.0,39.0
12:30,36.0,41.7,,41.5,37.0,42.0,40.0
12:40,36.0,41.0,38.0,42.0,38.5,42.0,42.0
12:50,38.5,40.8,38.5,43.0,40.0,43.0,42.0
13:00,36.2,42.0,38.0,42.5,40.0,43.0,42.0
13:10,37.3,40.0,37.0,42.0,38.0,42.0,42.0
13:20,40.7,40.0,37.0,39.5,35.5,39.0,33.0
13:30,39.5,40.5,37.0,36.0,32.5,36.0,35.5
13:40,38.5,40.0,36.0,34.0,32.5,38.0,34.5
13:50,38.7,39.2,36.7,36.3,31.5,38.0,41.0
14:00,39.3,38.7,37.5,37.2,34.5,36.0,40.0
14:10,40.5,39.5,36.0,34.0,33.0,35.0,38.0
14:20,40.0,40.0,36.0,35.0,33.0,32.0,33.0
14:30,40.0,39.0,36.0,35.0,31.5,30.0,29.0
14:40,40.2,39.0,38.0,39.0,33.3,31.5,31.0
14:50,40.7,39.4,36.5,36.0,31.0,30.3,31.2
15:00,41.0,41.0,36.0,37.7,33.0,31.0,36.0
15:10,39.0,39.3,35.0,36.0,32.0,31.0,35.0
15:20,37.0,37.5,31.0,34.0,31.5,31.0,36.0
15:30,36.0,36.5,31.0,33.0,32.0,32.0,36.0
15:40,36.0,34.3,30.0,33.0,31.0,31.0,35.0
